key,value
generated_at,2026-07-16T18:19:54Z
engine_version,Research Engine v1.0
mode,PAPER_TRADING_RESEARCH_ONLY
market_status.state,CLOSED
market_status.is_open,False
market_status.now_ist,2026-07-16T23:49:54.346817+05:30
market_status.timezone,Asia/Kolkata
market_status.session.pre_open,09:00
market_status.session.open,09:15
market_status.session.close,15:30
market_status.session.post_close,16:00
market_status.holiday_today,
market_status.next_transition.event,market_open
market_status.next_transition.at_ist,2026-07-17T09:15:00+05:30
market_status.next_transition.seconds_until,33905
market_status.upcoming_holidays,[3 items]
market_status.label,PAPER / RESEARCH ONLY
quote_provider.provider,Yahoo Finance (yfinance)
quote_provider.provider_id,yfinance
quote_provider.circuit_breaker,OPEN
quote_provider.consecutive_failures,3
quote_provider.last_success_ts,
quote_provider.total_fetches,0
quote_provider.total_errors,0
quote_provider.cached_symbols,1
quote_provider.quote_ttl_s,20.0
quote_provider.quote_ttl_closed_s,300.0
scan.scan_id,0f4bb84525ef
scan.snapshot_ts,2026-07-16T12:03:47Z
scan.recommendation_count,50
scan.provider_connection,DEGRADED
scan.symbol_coverage_pct,96.0
scan.quality_summary.LIVE,48
scan.quality_summary.STALE,0
scan.quality_summary.NEAR_LIVE,0
scan.quality_summary.UNAVAILABLE,2
scan.paper_execution_eligible,True
risk.kill_switch.active,False
risk.kill_switch.events,[2 items]
risk.kill_switch.reason,
risk.kill_switch.triggered_at,2026-07-15T03:38:28.777367
risk.kill_switch.triggered_by,manual
risk.kill_switch.resumed_at,2026-07-15T03:38:34.155811
risk.risk_alert_count,
notifications.total_alerts,10
notifications.unread,2
portfolio.cash,
portfolio.open_positions,0
